Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
WWL,,A,0100P-0500P,Sun Bowl,,4,,,,,,10.8,37.4,,,,,1200,,12/27/14,12/27/14
WWL,,A,0200P-0600P,SEC Championship: LSU,,35.2,,,,,,64.2,54.8,,,,,5400,,12/6/14,12/6/14
WWL,,A,0230P-0600P,SEC: LSU @ Auburn,,23.3,,,,,,43.6,53.4,,,,,10000,,10/4/14,10/4/14
WWL,,A,0230P-0600P,SEC: LSU @ Florida,,23.3,,,,,,43.6,53.4,,,,,10000,,10/11/14,10/11/14
WWL,,A,0230P-0600P,SEC on CBS: Texas A&M @ Alabama,,9.1,,,,,,20.4,44.5,,,,,1500,,10/18/14,10/18/14
WWL,,A,0230P-0600P,SEC: Ole Miss @ LSU,,23.3,,,,,,43.6,53.4,,,,,10000,,10/25/14,10/25/14
WWL,,A,0230P-0600P,SEC on CBS: Florida @ Georgia,,9.1,,,,,,20.4,44.5,,,,,1400,,11/1/14,11/1/14
WWL,,A,0230P-0600P,SEC on CBS: Texas A&M @ Auburn,,10.1,,,,,,22.7,44.5,,,,,1400,,11/8/14,11/8/14
WWL,,A,0230P-0600P,SEC on CBS: South Carolina @ Florida,,9.1,,,,,,20.4,44.5,,,,,1650,,11/15/14,11/15/14
WWL,,A,0230P-0600P,SEC on CBS: Ole Miss @ Arkansas,,9.1,,,,,,20.4,44.5,,,,,1650,,11/22/14,11/22/14
WWL,,A,0230P-0600P,SEC on CBS: Auburn @ Alabama,,9.1,,,,,,20.4,44.5,,,,,1675,,11/29/14,11/29/14
WWL,,A,0630P-0700P,LSU Post Game Show,,11.1,,,,,,18.9,58.9,,,,,1400,,10/4/14,10/4/14
WWL,,A,0630P-0700P,LSU Post Game Show,,11.1,,,,,,18.9,58.9,,,,,1400,,10/11/14,10/11/14
WWL,,A,0630P-0700P,LSU Post Game Show,,11.1,,,,,,18.9,58.9,,,,,1400,,10/25/14,10/25/14
WWL,,A,0630P-0700P,LSU Pre Game Show,,14.2,,,,,,26.3,54.1,,,,,1200,,11/8/14,11/8/14
WWL,,A,0630P-0725P,NFL Today,,7.2,,,,,,12.9,56,,,,,1800,,12/20/14,12/20/14
WWL,,A,0700P-1000P,College Football Game,,14.4,,,,,,26.4,54.6,,,,,2500,,11/1/14,11/1/14
WWL,,A,0700P-1000P,SEC: LSU vs. Alabama,,27.8,,,,,,45.1,61.7,,,,,10000,,11/8/14,11/8/14
WWL,,A,0725P-1015P,Saturday NFL: San Diego-San Francisco OR Phili-Washington,,18.3,,,,,,25.2,72.7,,,,,3600,,12/20/14,12/20/14
WWL,,A,0900P-1230A,Mountain West Championship,,1.1,,,,,,2.5,43.2,,,,,600,,12/6/14,12/6/14
WWL,,A,1000P-1100P,LSU Post Game Show,,6,,,,,,14.8,40.6,,,,,1500,,11/8/14,11/8/14
WWL,,U,1200P-0300P,NFL: Denver @ NY Jets,,8.2,,,,,,15.7,52.1,,,,,1800,,10/12/14,10/12/14
WWL,,U,1200P-0300P,NFL: Buffalo @ NY Jets,,8.2,,,,,,15.7,52.1,,,,,1800,,10/26/14,10/26/14
WWL,,U,1200P-0300P,NFL: San Diego @ Miami,,8.2,,,,,,15.7,52.1,,,,,1800,,11/2/14,11/2/14
WWL,,U,1200P-0300P,Saints vs. Cincinnati,,36.7,,,,,,68.9,53.2,,,,,12000,,11/16/14,11/16/14
WWL,,U,1200P-0300P,NFL: Cleveland @ Atlanta,,8.2,,,,,,15.7,52.1,,,,,1800,,11/23/14,11/23/14
WWL,,U,1200P-0300P,*NFL: Cincinnati @ Tampa,,8.2,,,,,,15.7,52.1,,,,,1800,,11/30/14,11/30/14
WWL,,U,1200P-0300P,NFL: Pittsburgh @ Atlanta,,8.2,,,,,,15.7,52.1,,,,,1800,,12/14/14,12/14/14
WWL,,U,1200P-0300P,*NFL: Buffalo @ New England,,8.2,,,,,,15.7,52.1,,,,,1450,,12/28/14,12/28/14
WWL,,U,0300P-0600P,NFL: Kansas City @ San Diego,,8.2,,,,,,15.7,52.1,,,,,2400,,10/19/14,10/19/14
WWL,,U,0305P-0600P,NFL: Denver @ Oakland,,8.2,,,,,,15.7,52.1,,,,,1800,,11/9/14,11/9/14
WWL,,U,0305P-0600P,NFL: Buffalo @ Denver,,8.2,,,,,,15.7,52.1,,,,,1800,,12/7/14,12/7/14
WWL,,U,0325P-0630P,NFL: Kansas City @ San Francisco,,8.2,,,,,,15.7,52.1,,,,,1800,,10/5/14,10/5/14
WWL,,U,0325P-0630P,NFL: Indianapolis @ Pittsburgh,,8.2,,,,,,15.7,52.1,,,,,2400,,10/26/14,10/26/14
WWL,,U,0325P-0630P,NFL: Denver @ New England,,8.2,,,,,,15.7,52.1,,,,,1800,,11/2/14,11/2/14
WWL,,U,0325P-0630P,NFL: Miami @ Denver,,8.2,,,,,,15.7,52.1,,,,,1800,,11/23/14,11/23/14
WWL,,U,0325P-0630P,NFL: New England @ Green Bay,,8.2,,,,,,15.7,52.1,,,,,1800,,11/30/14,11/30/14
WWL,,U,0325P-0630P,NFL: Indianapolis @ Dallas,,8.2,,,,,,15.7,52.1,,,,,1800,,12/21/14,12/21/14
WWL,,U,0325P-0630P,NFL: Oakland @ Denver,,8.2,,,,,,15.7,52.1,,,,,1800,,12/28/14,12/28/14
WWL,,U,0400P-0500P,Saints Post Game Special,,11.2,,,,,,21.1,53,,,,,3000,,11/16/14,11/16/14
WWL,,M,0700P-0730P,2 Broke Girls Season Premiere,,5.8,,,,,,8.6,67.3,,,,,1100,,10/27/14,10/27/14
WWL,,W,0800P-0900P,Criminal Minds Season Premiere,,9.8,,,,,,14.3,68.4,,,,,1325,,10/1/14,10/1/14
WWL,,W,0900P-1000P,Stalker Series Premiere,,8.3,,,,,,12.5,66.5,,,,,1100,,10/1/14,10/1/14
WWL,,R,0730P-0800P,The Millers Season Premiere,,11.4,,,,,,18.2,62.9,,,,,1325,,10/30/14,10/30/14
WWL,,R,0800P-0830P,Two & a Half Men Season Premiere,,9.3,,,,,,13.9,66.8,,,,,1350,,10/30/14,10/30/14
WWL,,R,0830P-0900P,The McCarth`s Series Premiere,,8.4,,,,,,12.5,66.8,,,,,1350,,10/30/14,10/30/14
WWL,,R,0900P-1000P,Elementary Season Premiere,,7.4,,,,,,11.4,64.5,,,,,1000,,10/30/14,10/30/14
WWL,,Mon-Fri,0500A-0600A,Early Eyewitness News,,5,,,,,,26.4,19,,,,,275,,10/1/14,12/31/14
WWL,,Mon-Fri,0600A-0700A,Eyewitness News Morning Edition,,6.5,,,,,,27.9,23.4,,,,,475,,10/1/14,12/31/14
WWL,,Mon-Fri,0700A-0800A,Eyewitness News @ 7AM,,6.2,,,,,,25.2,24.8,,,,,450,,10/1/14,12/31/14
WWL,,Mon-Fri,0800A-0900A,Eyewitness News @ 8AM,,5.9,,,,,,22.9,25.6,,,,,350,,10/1/14,12/31/14
WWL,,Mon-Fri,0430A-0500A,Eyewitness News @ 4:30AM,,1.1,,,,,,11.8,9.7,,,,,25,,10/1/14,12/31/14
WWL,,A,0600A-0800A,CBS Saturday Early Show,,1.1,,,,,,4.8,21.8,,,,,125,,10/4/14,12/27/14
WWL,,A,0800A-0900A,Eyewitness News Saturday Morning,,2.8,,,,,,8.9,31.4,,,,,250,,10/4/14,12/27/14
WWL,,A,0435A-0505A,Jack Hannah`s Into the Wild,,0.5,,,,,,6.5,8.1,,,,,25,,10/4/14,12/27/14
WWL,,U,0500A-0530A,On the Money,,0.6,,,,,,4.4,12.6,,,,,25,,10/5/14,12/28/14
WWL,,U,0530A-0600A,American Latino TV,,0.7,,,,,,4.8,14.1,,,,,25,,10/5/14,12/28/14
WWL,,U,0600A-0700A,Eyewitness News Sunday Morning,,2.5,,,,,,14.4,17.5,,,,,175,,10/5/14,12/28/14
