Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,AEN,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,BET,0.1,,0.2,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,BRVO,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,CNN,0.3,,0.3,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,ESPN,0.3,,0,,,,,,,6,5,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,FAM,0,,0,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,FOOD,,,,,,,,,,2,2,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,FXNC,2.1,,1.8,,,,,,,6,5,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,HGTV,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,LIF,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,TBS,0.3,,0.3,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,TLC,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,TNT,0.3,,0.2,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,USA,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,0500A-1000A,TWC,0.3,,0.4,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,AEN,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,BET,0.2,,0.3,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,BRVO,,,,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,CNN,0.2,,0.1,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,ESPN,0.1,,0,,,,,,,6,5,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,FAM,0.2,,0.5,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,FOOD,0.2,,0.3,,,,,,,2,2,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,FXNC,0.9,,1,,,,,,,6,5,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,HGTV,0.2,,0.2,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,LIF,0.3,,0.1,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,TBS,0.1,,0.1,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,TLC,0.1,,0.2,,,,,,,4,3,,,,,,
LUS Fiber,Lafayette 0738,Mon-Sun,1000A-0400P,TNT,0.7,,1.3,,,,,,,4,3,,,,,,
