Vendor,Station,D of W,Time,Length,Rate,Comments,Start Date,End Date
Delta Media,KFXZ 105.9 FM,U,1000A-0300P,60,25,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,U,0300P-0700P,60,30,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,U,0700P-1200A,60,10,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,A-U,0600A-0700P,60,26,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,A-U,0700P-1200A,60,10,Net rate/,8/26/14,9/1/15
Delta Media,KFXZ 105.9 FM,A-U,0600A-1200A,60,17,Net rate/,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0600A-0700P,30,0.00,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0600A-0830A,30,0.00,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,1230P-0130P,30,20,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0400P-0700P,30,20,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,A-U,0600A-0700P,30,0.00,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0600A-0700P,60,0.02,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0600A-0830A,60,30,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,1230P-0130P,60,0.08,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,Mon-Sun,0400P-0700P,60,0.08,,8/26/14,9/1/15
KAJN,KAJN 102.9 FM,A-U,0600A-0700P,60,0.00,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0600A-1000A,30,38,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,1000A-0300P,30,38,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0300P-0700P,30,38,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0600A-0700P,30,38,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0600A-1000A,60,35,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,1000A-0300P,60,35,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0300P-0700P,60,35,,8/26/14,9/1/15
Cumulus Media,KNEK 104.7 FM,Mon-Fri,0600A-0700P,60,32,,8/26/14,9/1/15
